ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score,category
국채선물/NNG,6697,5865,12562,0.0010533468180180974,0.00115820806156256,0.9094625162572325,중립
책임/NNG,6488,6036,12524,0.0010204739667465158,0.0011919767876541537,0.8561189926817613,중립
종목/NNG,6400,6109,12509,0.001006632766211113,0.0012063926765704482,0.8344155147499603,중립
하향/NNG,6008,6435,12443,0.0009449765092806822,0.0012707704818678727,0.7436248502496577,비둘기파
상향/NNG,7221,5184,12405,0.0011357648757516323,0.0010237255909872653,1.1094426922123906,중립
동결/NNG,6361,5957,12318,0.0010004985977920139,0.001176376031155698,0.8504921651702659,중립
대응/NNG,7161,5111,12272,0.0011263276935684031,0.0010093097020709707,1.1159386373254185,중립
신용/NNG,6581,5528,12109,0.0010351015991305209,0.0010916579990311733,0.9481921994334808,중립
서비스/NNG,7258,4851,12109,0.0011415844714312902,0.0009579654401773194,1.191676049628662,중립
조정/NNG,6759,5330,12089,0.0010630985729407675,0.0010525573688198542,1.0100148499579955,중립
금융시장/NNG,6365,5717,12082,0.0010011277432708959,0.0011289813278692507,0.8867531451209602,중립
긴축/NNG,7830,4210,12040,0.0012315522749114084,0.0008313820868164326,1.4813312608494205,매파
문제/NNG,6728,5274,12002,0.0010582226954794324,0.001041498604719683,1.0160577178730361,중립
발생/NNG,6549,5415,11964,0.0010300684352994654,0.0010693429929004709,0.9632722542142651,중립
동향/NNG,6042,5864,11906,0.0009503242458511788,0.0011580105836321998,0.8206524700926352,중립
원달러/NNG,7882,4022,11904,0.0012397311661368738,0.0007942562359087154,1.560870547926497,매파
판매/NNG,7043,4859,11902,0.0011077679019413857,0.000959545263620201,1.1544717523402346,중립
통화/NNG,6615,5248,11863,0.0010404493357010175,0.0010363641785303178,1.0039418162604703,중립
수요예측/NNG,5690,6153,11843,0.0008949594437095675,0.0012150817055062968,0.7365426042166098,비둘기파
건설/NNG,6882,4949,11831,0.0010824447964163874,0.0009773182773526188,1.1075663082333196,중립
매출/NNG,7845,3947,11792,0.0012339115704572158,0.0007794453911317006,1.5830635276009033,매파
연속/NNG,6946,4813,11759,0.0010925111240784986,0.0009504612788236318,1.1494535847169693,중립
코스피/NNG,6665,4984,11649,0.0010483136541870417,0.0009842300049152258,1.0651104406000462,중립
반면/NNG,6452,5097,11549,0.0010148116574365783,0.001006545011045928,1.0082128929157974,중립
수급/NNG,6270,5209,11479,0.0009861855381474497,0.00102866253924627,0.9587065733627818,중립
효과/NNG,6175,5116,11291,0.0009712433330240034,0.0010102970917227718,0.9613442827671874,중립
미치/VV,6500,4774,11274,0.0010223614031831616,0.0009427596395395842,1.084434844582923,중립
보험/NNG,5923,5192,11115,0.0009316071678544409,0.001025305414430147,0.9086143062769425,중립
의견/NNG,6121,4890,11011,0.0009627498690590972,0.0009656670794613671,0.9969790723280149,중립
없이/MAG,5851,5159,11010,0.0009202825492345658,0.0010187886427282602,0.903310569668405,중립
조달/NNG,6086,4910,10996,0.0009572448461188801,0.000969616638068571,0.9872405325321821,중립
국제/NNG,6710,4249,10959,0.0010553915408244637,0.0008390837261004803,1.2577905017050475,중립
잔액/NNG,6342,4604,10946,0.0009975101567673247,0.0009091883913783505,1.0971435251775228,중립
급등/NNG,6556,4363,10919,0.0010311694398875088,0.0008615962101615429,1.1968128779189642,중립
거래일/NNG,6044,4835,10879,0.0009506388185906197,0.0009548057932915562,0.995635788209274,중립
계획/NNG,6958,3914,10872,0.0010943985605151444,0.0007729286194298141,1.4159115512147515,매파
고금리/NNG,7436,3364,10800,0.0011695814452415368,0.0006643157577317052,1.760580614909772,매파
상환/NNG,5846,4941,10787,0.0009194961173859635,0.0009757384539097371,0.9423592087629494,중립
신흥국/NNG,4649,6044,10693,0.0007312243328305413,0.0011935566110970353,0.6126431926496139,비둘기파
사용/NNG,5755,4905,10660,0.0009051830577413992,0.00096862924841677,0.9344989935219549,중립
재정/NNG,5264,5360,10624,0.0008279554502086403,0.0010584817067306601,0.7822104481767117,중립
제외/NNG,5956,4662,10618,0.000936797618055217,0.000920642111339242,1.0175480857512305,중립
최고/NNG,6017,4597,10614,0.0009463920866081666,0.0009078060458658292,1.0425047188417165,중립
방향/NNG,5500,5064,10564,0.0008650750334626752,0.0010000282393440416,0.8650506050010273,중립
순발행/NNG,4880,5561,10441,0.0007675574842359736,0.0010981747707330598,0.6989392806061364,비둘기파
언급/NNG,5944,4479,10423,0.0009349101816185712,0.0008845036500833258,1.0569884946551624,중립
변경/NNG,5582,4758,10340,0.000877972515779755,0.000939599992653821,0.9344109436399586,중립
빠르/VA,5874,4464,10338,0.000923900135738137,0.0008815414811279229,1.0480506652460833,중립
제조업/NNG,5398,4934,10332,0.0008490318237511855,0.0009743561083972158,0.8713773295349021,중립
목적/NNG,5408,4869,10277,0.0008506046874483905,0.000961520042923803,0.8846458206548252,중립
생각/NNG,5977,4265,10242,0.0009401006318193472,0.0008422433729862435,1.116186439658341,중립
