date,title,call_rate
2024-03-28,"김한길 ""소상공인 스스로 일어설 수 있는 생태계 조성""",3.502
2024-03-28,[미리보는 이데일리 신문]악성 미분양 사들여 건설시장 숨통 튼다,3.502
2024-03-28,"中 부동산 위기, 극영은행까지 불똥?…부실대출 눈덩이",3.502
2024-03-28,신용등급 상향 한화호텔앤드리조트 회사채 수요예측 ‘완판’,3.502
2024-03-28,삼성증권 ‘ETF 찍먹’ 콘텐츠 시즌3 공개,3.502
2024-03-28,"6% 넘봤던 한전채 금리, 3%대까지 ‘뚝’",3.502
2024-03-28,"두산건설, 경영 전반에 ‘데이터 기반’ 투명·차별화 전략 도입",3.502
2024-03-28,다들 금값 쳐다볼때 진짜 고수는 ‘금광’ 캐며 웃는다…2배 더 오른 ‘이것’,3.502
2024-03-28,"국민연금, 내년 주총 의결권 행사 시 ‘성별 다양성’ 고려한다",3.502
2024-03-28,‘뛰는 금’ 위에 ‘나는 금채굴’…한 달 수익률이 코스피보다 무려,3.502
2024-03-28,"국민카드, 여전사 최초 공모 신종자본증권 수요예측 흥행",3.502
2024-03-28,한투운용 첫 1조 ETF 나왔다...효자 상품된 美장기채,3.502
2024-03-28,‘리더십 상실’ 2024 금융시장에 미국은 없다…한국 통화정책도 美서 독립할 때 [노영우칼럼],3.502
2024-03-28,진격의 일본 … 17년만에 금리 올렸다,3.502
2024-03-28,S&P500지수 또 최고…잘 나가던 엔비디아는 2%대 하락 [월가월부],3.502
2024-03-28,[머니콘 출사표] “채권 수익률 50% 가능”vs “금리 내릴 때 주식투자”,3.502
2024-03-27,압구정3구역·여의도 시범 재건축 길 터준다…공공부담 대폭 완화,3.44
2024-03-27,엔달러 환율 34년 만에 최고…달러당 151.97엔까지 올라 [종합],3.44
2024-03-27,"""카카오뱅크, 금융플랫폼 정체성 강화…금리 하락 수혜주""-하나",3.44
2024-03-27,"""현대차, 환율 대응한 판매전략 변경 긍정적…목표가↑""-메리츠",3.44
2024-03-27,리모델링 대신 재건축…서울 149개 단지 용적률 상향 가능해졌다,3.44
2024-03-27,"주금공, 4월 보금자리론 금리 0.15%p 인하",3.44
2024-03-27,"신한운용, 초단기채권 액티브 ETF 순자산 3000억원 돌파",3.44
2024-03-27,"""시세차익 확실한가요?""…청약자 '우르르' 몰리는 곳 봤더니",3.44
